CI_Name,CI_Cat,CI_Subcat,WBS,Incident_ID,Status,Impact,Urgency,Priority,number_cnt,Category,KB_number,Alert_Status,No_of_Reassignments,Open_Time,Reopen_Time,Resolved_Time,Close_Time,Handle_Time_hrs,Closure_Code,No_of_Related_Interactions,Related_Interaction,No_of_Related_Incidents,No_of_Related_Changes,Related_Change
SUB000508,subapplication,"Web Based Application",WBS000162,IM0000004,Closed,4,4,4,0.601292279,incident,KM0000553,closed,26,"05-02-2012 13:32",,"04-11-2013 13:50","04-11-2013 13:51","3,87,16,91,111",Other,1,SD0000007,2,,
WBA000124,application,"Web Based Application",WBS000088,IM0000005,Closed,3,3,3,0.415049969,incident,KM0000611,closed,33,"12-03-2012 15:44","02-12-2013 12:31","02-12-2013 12:36","02-12-2013 12:36","4,35,47,86,389",Software,1,SD0000011,1,,
DTA000024,application,"Desktop Application",WBS000092,IM0000006,Closed,NS,3,NA,0.517551335,"request for information",KM0000339,closed,3,"29-03-2012 12:36",,"13-01-2014 15:12","13-01-2014 15:13","4,84,31,19,444","No error - works as designed",1,SD0000017,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000011,Closed,4,4,4,0.642927218,incident,KM0000611,closed,13,"17-07-2012 11:49",,"14-11-2013 09:31","14-11-2013 09:31","4,32,18,33,333","Operator error",1,SD0000025,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000012,Closed,4,4,4,0.345258343,incident,KM0000611,closed,2,"10-08-2012 11:01",,"08-11-2013 13:55","08-11-2013 13:55","3,38,39,03,333",Other,1,SD0000029,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000013,Closed,4,4,4,0.006675648,incident,KM0000611,closed,4,"10-08-2012 11:27",,"08-11-2013 13:54","08-11-2013 13:54","3,38,34,36,944",Other,1,SD0000031,,,
WBA000082,application,"Web Based Application",WBS000055,IM0000014,Closed,4,4,4,0.19290712,incident,KM0000401,closed,2,"15-08-2012 14:17",,"27-12-2013 10:59","27-12-2013 10:59","3,70,31,91,389",Unknown,1,SD0000033,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000015,Closed,4,4,4,0.996467545,incident,KM0000611,closed,5,"22-08-2012 16:31",,"08-11-2013 14:09","08-11-2013 14:09","3,29,46,24,167",Other,1,SD0000034,,,
WBA000124,application,"Web Based Application",WBS000088,IM0000017,Closed,NS,3,NA,0.269573825,incident,KM0000611,closed,2,"29-08-2012 15:59",,"08-11-2013 14:02","08-11-2013 14:02","0,862777778",Other,1,SD0000036,,,
WBA000082,application,"Web Based Application",WBS000055,IM0000018,Closed,4,4,4,0.306670312,incident,KM0000401,closed,2,"03-09-2012 16:04",,"08-11-2013 14:33","08-11-2013 14:35","3,21,15,26,944","No error - works as designed",1,SD0000037,,,
